headline	positive	negative	neutral	url	publisher	ts	symbol
Cookson Peirce & Co Inc Buys Eli Lilly and Co, Vertex Pharmaceuticals Inc, Netflix Inc, ...	0.10503222048282623	0.015249756164848804	0.8797180652618408	http://www.gurufocus.com/news/1125063/cookson-peirce--co-inc-buys-eli-lilly-and-co-vertex-pharmaceuticals-inc-netflix-inc-sells-hilton-worldwide-holdings-inc-transdigm-group-inc-abbott-laboratories	GuruFocus	2020-05-04 00:00:00	A
Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $–.– million of Shares	0.026083029806613922	0.026122866198420525	0.9477940797805786	http://www.gurufocus.com/news/1121894/agilent-technologies-inc-a-ceo-and-president-michael-r-mcmullen-sold-11-million-of-shares	GuruFocus	2020-04-30 00:00:00	A
Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $67–,6—7 of Shares	0.02619387023150921	0.023780887946486473	0.9500252604484558	http://www.gurufocus.com/news/1119439/agilent-technologies-inc-a-ceo-and-president-michael-r-mcmullen-sold-671627-of-shares	GuruFocus	2020-04-28 00:00:00	A
S.E.E.D. Planning Group LLC Buys VanEck Vectors Morningstar Wide Moat, PepsiCo Inc, Ecolab Inc, ...	0.05401559919118881	0.012294575572013855	0.9336897730827332	http://www.gurufocus.com/news/1108126/seed-planning-group-llc-buys-vaneck-vectors-morningstar-wide-moat-pepsico-inc-ecolab-inc-sells-schwab-us-largecap-invesco-bulletshares-2020-corporate-bond-etf-international-flavors--fragrances-inc	GuruFocus	2020-04-17 00:00:00	A
Agilent (A) Withdraws Q2 & FY20 View Amid Coronavirus Crisis	0.009599857032299042	0.960699737071991	0.02970043197274208	http://www.zacks.com/stock/news/872005/agilent-a-withdraws-q2-fy20-view-amid-coronavirus-crisis?cid=CS-BENZ-FT-analyst_blog|company_news_tech_sector-872005	Zacks	2020-04-15 00:00:00	A
Top –st-Quarter Buys of Jerome Dodson's Parnassus Fund	0.5730459094047546	0.021082356572151184	0.40587174892425537	http://www.gurufocus.com/news/1104590/top-1stquarter-buys-of-jerome-dodsons-parnassus-fund	GuruFocus	2020-04-14 00:00:00	A
Bill Ackman on Agilent Technologies	0.03572746366262436	0.025920478627085686	0.9383519887924194	http://www.gurufocus.com/news/1104359/bill-ackman-on-agilent-technologies	GuruFocus	2020-04-14 00:00:00	A
Bill Ackman's Pershing Square —…–9 Annual Letter to Shareholders	0.11558765918016434	0.017748363316059113	0.8666639924049377	http://www.gurufocus.com/news/1104358/bill-ackmans-pershing-square-2019-annual-letter-to-shareholders	GuruFocus	2020-04-14 00:00:00	A
Parnassus Endeavor Fund Adds ' Stocks to Portfolio in –st Quarter	0.21524518728256226	0.028591444715857506	0.7561632990837097	http://www.gurufocus.com/news/1103295/parnassus-endeavor-fund-adds-3-stocks-to-portfolio-in-1st-quarter	GuruFocus	2020-04-13 00:00:00	A
Parnassus Endeavor Fund Buys FedEx Corp, VF Corp, Expeditors International of Washington Inc, ...	0.1308012157678604	0.011023803614079952	0.8581749796867371	http://www.gurufocus.com/news/1101813/parnassus-endeavor-fund-buys-fedex-corp-vf-corp-expeditors-international-of-washington-inc-sells-gilead-sciences-inc-lam-research-corp-perrigo-co-plc	GuruFocus	2020-04-10 00:00:00	A
Parnassus Fund Buys KLA Corp, Agilent Technologies Inc, Square Inc, Sells Alliance Data Systems ...	0.12118633836507797	0.01246434636414051	0.8663493990898132	http://www.gurufocus.com/news/1101812/parnassus-fund-buys-kla-corp-agilent-technologies-inc-square-inc-sells-alliance-data-systems-corp-cvs-health-corp-hologic-inc	GuruFocus	2020-04-10 00:00:00	A
Lgt Capital Partners Ltd. Buys Microsoft Corp, Stryker Corp, The Estee Lauder Inc, Sells ...	0.06438389420509338	0.016477061435580254	0.91913902759552	http://www.gurufocus.com/news/1098172/lgt-capital-partners-ltd-buys-microsoft-corp-stryker-corp-the-estee-lauder-inc-sells-newmont-corp-tupperware-brands-corp-the-carlyle-group-inc	GuruFocus	2020-04-07 00:00:00	A
Timing the Market, Is it Possible? - April 07, 2020	0.050066929310560226	0.016869261860847473	0.9330638647079468	http://www.zacks.com/stock/news/858761/timing-the-market-is-it-possible-april-07-2020?cid=CS-BENZ-FT-retirement_ideas|market_timing_secrets-858761	Zacks	2020-04-07 00:00:00	A
Agilent Technologies to Change Location of Annual Meeting	0.02284126728773117	0.17985686659812927	0.7973018884658813	http://www.gurufocus.com/news/1090024/agilent-technologies-to-change-location-of-annual-meeting-	GuruFocus	2020-03-30 00:00:00	A
Bill Ackman's Pershing Square Releases Letter to Investors	0.04845656082034111	0.020707683637738228	0.9308357238769531	http://www.gurufocus.com/news/1086307/bill-ackmans-pershing-square-releases-letter-to-investors	GuruFocus	2020-03-26 00:00:00	A
Agilent Technologies (A) Gains As Market Dips: What You Should Know	0.14575886726379395	0.05055581033229828	0.8036853671073914	http://www.zacks.com/stock/news/826049/agilent-technologies-a-gains-as-market-dips-what-you-should-know?cid=CS-BENZ-FT-tale_of_the_tape|yseop_template_6v1-826049	Zacks	2020-03-20 00:00:00	A
Why Is Agilent (A) Down 19.3% Since Last Earnings Report?	0.009210709482431412	0.9665674567222595	0.02422172762453556	http://www.zacks.com/stock/news/823272/why-is-agilent-a-down-193-since-last-earnings-report?cid=CS-BENZ-FT-realtime_blog-823272	Zacks	2020-03-19 00:00:00	A
Stocks Flashing Renewed Technical Strength: Agilent Technologies	0.9432750344276428	0.013309287838637829	0.043415702879428864	http://www.investors.com/ibd-data-stories/stocks-flashing-renewed-technical-strength-agilent-technologies/?src=A00237A&ven=BenzingaCP&src=AURLAAM	Investor's Business Daily	2020-03-19 00:00:00	A
Agilent Technologies Announces Cash Dividend of –8 Cents Per Share	0.11750828474760056	0.04042600467801094	0.842065691947937	http://www.gurufocus.com/news/1078836/agilent-technologies-announces-cash-dividend-of-18-cents-per-share	GuruFocus	2020-03-18 00:00:00	A
Agilent Technologies to Adjourn Annual Meeting Until April –7, —…—…	0.019732465967535973	0.13987679779529572	0.8403907418251038	http://www.gurufocus.com/news/1077054/agilent-technologies-to-adjourn-annual-meeting-until-april-17-2020	GuruFocus	2020-03-17 00:00:00	A
Agilent Introduces CrossLab Connect Services for Lab-wide Asset Monitoring	0.18223339319229126	0.007301752455532551	0.8104648590087891	http://www.gurufocus.com/news/1074589/agilent-introduces-crosslab-connect-services-for-labwide-asset-monitoring-	GuruFocus	2020-03-16 00:00:00	A
6 Guru Stocks Trading With Low Price-Sales Ratios	0.22513315081596375	0.10724067687988281	0.667626142501831	http://www.gurufocus.com/news/1064215/6-guru-stocks-trading-with-low-pricesales-ratios	GuruFocus	2020-03-03 00:00:00	A
Stock Upgrades: Agilent Technologies Shows Rising Relative Strength	0.9544261693954468	0.021206025034189224	0.024367859587073326	http://www.investors.com/ibd-data-stories/stock-upgrades-agilent-technologies-shows-rising-relative-strength-5/?src=A00237A&ven=BenzingaCP&src=AURLAAM	Investor's Business Daily	2020-02-28 00:00:00	A
Fitbit (FIT) Q4 Loss Wider Than Estimated, Revenues Lag	0.025331804528832436	0.9642150402069092	0.010453167371451855	http://www.zacks.com/stock/news/777147/fitbit-fit-q4-loss-wider-than-estimated-revenues-lag?cid=CS-BENZ-FT-analyst_blog|earnings_article-777147	Zacks	2020-02-21 00:00:00	A
How to Time the Markets Like an Investing Pro - February 20, 2020	0.045737672597169876	0.020762130618095398	0.9335001707077026	http://www.zacks.com/stock/news/775137/how-to-time-the-markets-like-an-investing-pro-february-20-2020?cid=CS-BENZ-FT-retirement_ideas|market_timing_secrets-775137	Zacks	2020-02-20 00:00:00	A
Stock Chart Breakdown Alert: Agilent Tech (A)	0.03507194668054581	0.02903994917869568	0.9358880519866943	https://talkmarkets.com/content/stock-chart-breakdown-alert-agilent-tech-a?post=251694	TalkMarkets	2020-02-19 00:00:00	A
Agilent (A) Q1 Earnings In Line With Estimates, Revenues Top	0.774368166923523	0.02375197596848011	0.20187993347644806	http://www.zacks.com/stock/news/772907/agilent-a-q1-earnings-in-line-with-estimates-revenues-top?cid=CS-BENZ-FT-analyst_blog|earnings_article-772907	Zacks	2020-02-19 00:00:00	A
GoDaddy (GDDY) Q4 Earnings Miss Estimates, Revenues Beat	0.061537791043519974	0.8559497594833374	0.08251243084669113	http://www.zacks.com/stock/news/771320/godaddy-gddy-q4-earnings-miss-estimates-revenues-beat?cid=CS-BENZ-FT-analyst_blog|earnings_article-771320	Zacks	2020-02-18 00:00:00	A
Bill Ackman's Pershing Square: 4th-Quarter Update	0.04280102625489235	0.030481940135359764	0.9267169833183289	http://www.gurufocus.com/news/1042860/bill-ackmans-pershing-square-4thquarter-update	GuruFocus	2020-02-18 00:00:00	A
Wunderlich Capital Managemnt Buys ServiceNow Inc, Truist Financial Corp, Agilent Technologies ...	0.1067429855465889	0.011751129291951656	0.8815058469772339	http://www.gurufocus.com/news/1041634/wunderlich-capital-managemnt-buys-servicenow-inc-truist-financial-corp-agilent-technologies-inc-sells-suntrust-banks-inc-diamondback-energy-inc	GuruFocus	2020-02-17 00:00:00	A
Napier Park Global Capital LLC Buys Invesco Senior Loan, Agilent Technologies Inc, Lowe's Inc, ...	0.08491970598697662	0.013624222949147224	0.9014561176300049	http://www.gurufocus.com/news/1038789/napier-park-global-capital-llc-buys-invesco-senior-loan-agilent-technologies-inc-lowes-inc-sells-ishares-iboxx--investment-grade-corporate-bond-nrg-energy-inc-ceridian-hcm-holding-inc	GuruFocus	2020-02-14 00:00:00	A
Stock Upgrades: Agilent Technologies Shows Rising Relative Strength	0.9544261693954468	0.021206025034189224	0.024367859587073326	http://www.investors.com/ibd-data-stories/stock-upgrades-agilent-technologies-shows-rising-relative-strength-4/?src=A00237A&ven=BenzingaCP&src=AURLAAM	Investor's Business Daily	2020-02-13 00:00:00	A
Applied Materials (AMAT) Q1 Earnings & Sales Top Estimates	0.05908746272325516	0.10463444143533707	0.8362780213356018	http://www.zacks.com/stock/news/763708/applied-materials-amat-q1-earnings-sales-top-estimates?cid=CS-BENZ-FT-analyst_blog|earnings_article-763708	Zacks	2020-02-13 00:00:00	A
Stonehage Fleming Financial Services Holdings Ltd Buys Autoliv Inc, Walmart Inc, Uber ...	0.0866301953792572	0.015706835314631462	0.8976629376411438	http://www.gurufocus.com/news/1037232/stonehage-fleming-financial-services-holdings-ltd-buys-autoliv-inc-walmart-inc-uber-technologies-inc-sells-ishares-msci-emerging-markets-etf-edwards-lifesciences-corp-altria-group-inc	GuruFocus	2020-02-13 00:00:00	A
Agilent (A) Gears Up for Q1 Earnings: What's in the Cards?	0.06863555312156677	0.018763374537229538	0.9126010537147522	http://www.zacks.com/stock/news/761933/agilent-a-gears-up-for-q1-earnings-whats-in-the-cards?cid=CS-BENZ-FT-analyst_blog|earnings_preview-761933	Zacks	2020-02-12 00:00:00	A
Clearfield Capital Management Lp Buys Insperity Inc, Square Inc, Agilent Technologies Inc, ...	0.06655482947826385	0.014422979205846786	0.919022262096405	http://www.gurufocus.com/news/1036898/clearfield-capital-management-lp-buys-insperity-inc-square-inc-agilent-technologies-inc-sells-l3harris-technologies-inc-equifax-inc-liberty-formula-one-group	GuruFocus	2020-02-12 00:00:00	A
Can Strong Cloud Growth Propel Alibaba's (BABA) Q3 Earnings?	0.9085784554481506	0.010204034857451916	0.08121746778488159	http://www.zacks.com/stock/news/759889/can-strong-cloud-growth-propel-alibabas-baba-q3-earnings?cid=CS-BENZ-FT-analyst_blog|earnings_preview-759889	Zacks	2020-02-11 00:00:00	A
Troy Asset Management Ltd Buys Agilent Technologies Inc, Mastercard Inc, Cisco Systems Inc, ...	0.06793561577796936	0.014925532974302769	0.9171388745307922	http://www.gurufocus.com/news/1035886/troy-asset-management-ltd-buys-agilent-technologies-inc-mastercard-inc-cisco-systems-inc-sells-ebay-inc	GuruFocus	2020-02-11 00:00:00	A
Fortive (FTV) Earnings & Revenues Surpass Estimates in Q4	0.9117739200592041	0.04466141387820244	0.04356475546956062	http://www.zacks.com/stock/news/754382/fortive-ftv-earnings-revenues-surpass-estimates-in-q4?cid=CS-BENZ-FT-analyst_blog|earnings_article-754382	Zacks	2020-02-07 00:00:00	A
Eaton Vance Exits Celgene, Trims Amgen Position	0.029389621689915657	0.031468093395233154	0.9391423463821411	http://www.gurufocus.com/news/1028223/eaton-vance-exits-celgene-trims-amgen-position	GuruFocus	2020-02-04 00:00:00	A
Mechanics Bank Trust Department Buys SPDR Wells Fargo Preferred Stock ETF, Huntington ...	0.10606884956359863	0.012518225237727165	0.881412923336029	http://www.gurufocus.com/news/1021009/mechanics-bank-trust-department-buys-spdr-wells-fargo-preferred-stock-etf-huntington-bancshares-inc-hanesbrands-inc-sells-nestle-sa-the-kroger-co-ch-robinson-worldwide-inc	GuruFocus	2020-01-23 00:00:00	A
Krueger & Catalano Capital Partners, LLC Buys Bristol-Myers Squibb Company, Agilent ...	0.13875095546245575	0.011638804338872433	0.8496102094650269	http://www.gurufocus.com/news/1019362/krueger--catalano-capital-partners-llc-buys-bristolmyers-squibb-company-agilent-technologies-inc-msci-inc-sells-cullenfrost-bankers-inc-boeing-co-twilio-inc	GuruFocus	2020-01-21 00:00:00	A
Parnassus Endeavor Fund Invests in Insurance and Logistics in 4th Quarter	0.10712895542383194	0.008998002856969833	0.8838729858398438	http://www.gurufocus.com/news/1015722/parnassus-endeavor-fund-invests-in-insurance-and-logistics-in-4th-quarter	GuruFocus	2020-01-15 00:00:00	A
Parnassus Endeavor Fund Adds to Cisco, Alphabet	0.07136968523263931	0.010425806045532227	0.9182044863700867	http://www.gurufocus.com/news/1015901/parnassus-endeavor-fund-adds-to-cisco-alphabet	GuruFocus	2020-01-15 00:00:00	A
Timing the Market, Is it Possible? - January 10, 2020	0.04928137734532356	0.01860230788588524	0.9321163296699524	http://www.zacks.com/stock/news/711428/timing-the-market-is-it-possible-january-10-2020?cid=CS-BENZ-FT-retirement_ideas|market_timing_secrets-711428	Zacks	2020-01-10 00:00:00	A
Why Is Agilent (A) Up 5.4% Since Last Earnings Report?	0.7115887999534607	0.05466708168387413	0.23374412953853607	http://www.zacks.com/stock/news/687371/why-is-agilent-a-up-54-since-last-earnings-report?cid=CS-BENZ-FT-realtime_blog-687371	Zacks	2019-12-25 00:00:00	A
The Market Timing Secrets No One Talks About - December 17, 2019	0.023628782480955124	0.028726117685437202	0.9476451277732849	http://www.zacks.com/stock/news/675479/the-market-timing-secrets-no-one-talks-about-december-17-2019?cid=CS-BENZ-FT-retirement_ideas|market_timing_secrets-675479	Zacks	2019-12-17 00:00:00	A
Live Nation Entertainment, Zebra Technologies, STERIS Set to Join S&P 5……; Others to ...	0.07754697650671005	0.009302716702222824	0.9131503105163574	https://www.benzinga.com/node/14992163	GuruFocus	2019-12-13 00:00:00	A
Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $4 million of Shares	0.03401649370789528	0.019255420193076134	0.9467280507087708	https://www.benzinga.com/node/14992143	GuruFocus	2019-12-13 00:00:00	A
Nomura Holdings Inc Buys Aramark, AT&T Inc, Emerson Electric Co, Sells Amazon. ...	0.07733629643917084	0.013086817227303982	0.9095768332481384	https://www.benzinga.com/node/14984762	GuruFocus	2019-12-12 00:00:00	A
Wall Street Breakfast: Trade Deadline And Fed Meeting	0.025638198480010033	0.06082190200686455	0.9135398268699646	https://seekingalpha.com/article/4311579-wall-street-breakfast-trade-deadline-and-fed-meeting?utm_source=partner_&utm_medium=referralbenzinga	Seeking Alpha	2019-12-10 00:00:00	A
Bill Ackman's Pershing Square Packs Into Agilent	0.15022291243076324	0.014704174362123013	0.835072934627533	https://www.benzinga.com/node/14964953	GuruFocus	2019-12-10 00:00:00	A
Pershing Square Capital Management, L.P. Buys Agilent Technologies Inc, Sells Automatic Data ...	0.09337462484836578	0.008707764558494091	0.897917628288269	https://www.benzinga.com/node/14958377	GuruFocus	2019-12-09 00:00:00	A
Agilent up 4% after hours on Pershing stake	0.9339717030525208	0.02254188433289528	0.04348647966980934	https://seekingalpha.com/news/3524933-agilent-up-4-after-hours-on-pershing-stake?source=partner_benzinga	Seeking Alpha	2019-12-09 00:00:00	A
Best Large-Cap Stocks To Buy Now	0.09492482990026474	0.013565892353653908	0.8915092349052429	https://seekingalpha.com/article/4310979-best-large-cap-stocks-to-buy-now?source=partner_benzinga	Seeking Alpha	2019-12-06 00:00:00	A
Agilent Technologies, Inc. (A) Management Presents at Evercore ISI HealthCONx Conference (Transcript)	0.050038713961839676	0.023183166980743408	0.9267781376838684	https://seekingalpha.com/article/4310780-agilent-technologies-inc-management-presents-evercore-isi-healthconx-conference-transcript?source=partner_benzinga	Seeking Alpha	2019-12-05 00:00:00	A
Agilent Technologies Inc (A) Presents at The 31st Annual Piper Jaffray Healthcare Conference (Transcript)	0.04834911972284317	0.02161087468266487	0.9300399422645569	https://seekingalpha.com/article/4310477-agilent-technologies-inc-presents-31st-annual-piper-jaffray-healthcare-conference-transcript?source=partner_benzinga	Seeking Alpha	2019-12-04 00:00:00	A
Agilent (A) Earnings and Revenues Surpass Estimates in Q4	0.9400908946990967	0.025081146508455276	0.03482787683606148	http://www.zacks.com/stock/news/638168/agilent-a-earnings-and-revenues-surpass-estimates-in-q4?cid=CS-BENZ-FT-analyst_blog|earnings_article-638168	Zacks	2019-11-26 00:00:00	A
Agilent Technologies, Inc. (A) CEO Mike McMullen on Q4 2019 Results - Earnings Call Transcript	0.02736431546509266	0.06129411980509758	0.9113415479660034	https://seekingalpha.com/article/4309111-agilent-technologies-inc-ceo-mike-mcmullen-q4-2019-results-earnings-call-transcript?source=partner_benzinga	Seeking Alpha	2019-11-25 00:00:00	A
Dow Jones Futures: Stock Market Fear Gauge Hits New Low; Palo Alto Networks, Nutanix, Ambarella, Hewlett Packard Enterprise, ChemoCentryx Are Big Movers Late	0.2839653789997101	0.46004360914230347	0.25599101185798645	http://www.investors.com/market-trend/stock-market-today/dow-jones-futures-stock-market-rally-fear-gauge-hits-new-low-palo-alto-networks-nutanix-ambarella/?src=A00237A&ven=BenzingaCP&src=AURLAAM	Investor's Business Daily	2019-11-25 00:00:00	A
Agilent EPS beats by $0.03, misses on revenue	0.6374176740646362	0.136130228638649	0.22645200788974762	https://seekingalpha.com/news/3521902-agilent-eps-beats-0_03-misses-revenue?source=partner_benzinga	Seeking Alpha	2019-11-25 00:00:00	A
Agilent Technologies, Inc. 2019 Q4 - Results - Earnings Call Presentation	0.02926751784980297	0.056182876229286194	0.9145496487617493	https://seekingalpha.com/article/4309065-agilent-technologies-inc-2019-q4-results-earnings-call-presentation?source=partner_benzinga	Seeking Alpha	2019-11-25 00:00:00	A
Agilent Technologies (A) Surpasses Q4 Earnings and Revenue Estimates	0.9576000571250916	0.018469074741005898	0.02393084578216076	http://www.zacks.com/stock/news/637442/agilent-technologies-a-surpasses-q4-earnings-and-revenue-estimates?cid=CS-BENZ-FT-tale_of_the_tape|yseop_template_4-637442	Zacks	2019-11-25 00:00:00	A
Notable earnings after Monday's close	0.8940557837486267	0.07122879475355148	0.03471550717949867	https://seekingalpha.com/news/3521666-notable-earnings-monday-s-close?source=partner_benzinga	Seeking Alpha	2019-11-24 00:00:00	A
Spotlight On Alibaba, Best Buy And DuPont (Stocks To Watch Podcast)	0.046640124171972275	0.024690065532922745	0.9286697506904602	https://seekingalpha.com/article/4308812-spotlight-alibaba-best-buy-dupont-stocks-watch-podcast?source=partner_benzinga	Seeking Alpha	2019-11-24 00:00:00	A
Dividend Increases: November 18-22, 2019	0.04291375353932381	0.04189162328839302	0.9151946306228638	https://seekingalpha.com/article/4308845-dividend-increases-november-18minus-22-2019?source=partner_benzinga	Seeking Alpha	2019-11-24 00:00:00	A
Agilent Q4 2019 Earnings Preview	0.35011884570121765	0.053401436656713486	0.5964797139167786	https://seekingalpha.com/news/3521679-agilent-q4-2019-earnings-preview?source=partner_benzinga	Seeking Alpha	2019-11-24 00:00:00	A
Dividend Challenger Highlights: Week Of November 24	0.030072398483753204	0.04634302482008934	0.923584520816803	https://seekingalpha.com/article/4308801-dividend-challenger-highlights-week-november-24?source=partner_benzinga	Seeking Alpha	2019-11-23 00:00:00	A
Stocks To Watch: Spotlight On Alibaba, Best Buy And DuPont	0.07127638161182404	0.015654996037483215	0.9130686521530151	https://seekingalpha.com/article/4308790-stocks-watch-spotlight-alibaba-best-buy-dupont?source=partner_benzinga	Seeking Alpha	2019-11-23 00:00:00	A
Earnings Watch: PANW Stock Rallies Ahead Of Results; Retail Leader Forms Bullish Base	0.8869577050209045	0.08016297221183777	0.032879337668418884	http://www.investors.com/research/earnings-preview/panw-stock-rallies-sharply-ahead-of-earnings/?src=A00237A&ven=BenzingaCP&src=AURLAAM	Investor's Business Daily	2019-11-22 00:00:00	A
Agilent on watch after positive EU drug development	0.7591424584388733	0.04958482086658478	0.19127263128757477	https://seekingalpha.com/news/3521521-agilent-watch-positive-eu-drug-development?source=partner_benzinga	Seeking Alpha	2019-11-22 00:00:00	A
Agilent Is Up Almost 20% Since Its Last Earnings Report: Assessing If The Momentum Continues	0.9491509795188904	0.01572532206773758	0.03512362018227577	https://seekingalpha.com/article/4308328-agilent-almost-20-percent-since-last-earnings-report-assessing-momentum-continues?source=partner_benzinga	Seeking Alpha	2019-11-21 00:00:00	A
Yes, You Can Time the Market. Find out How - November 21, 2019	0.03438833728432655	0.02493192069232464	0.9406797885894775	http://www.zacks.com/stock/news/630849/yes-you-can-time-the-market-find-out-how-november-21-2019?cid=CS-BENZ-FT-retirement_ideas|market_timing_secrets-630849	Zacks	2019-11-21 00:00:00	A
The Top Large-Cap Sectors, Industries, And Stocks To Buy Now	0.06954574584960938	0.014777949079871178	0.9156763553619385	https://seekingalpha.com/article/4308176-top-large-cap-sectors-industries-stocks-buy-now?source=partner_benzinga	Seeking Alpha	2019-11-21 00:00:00	A
Agilent declares $0.18 dividend	0.03464844450354576	0.05904180556535721	0.9063097238540649	https://seekingalpha.com/news/3520971-agilent-declares-0_18-dividend?source=partner_benzinga	Seeking Alpha	2019-11-20 00:00:00	A
Agilent Technologies (A) Earnings Expected to Grow: Should You Buy?	0.2209269106388092	0.01327436976134777	0.7657986879348755	http://www.zacks.com/stock/news/625743/agilent-technologies-a-earnings-expected-to-grow-should-you-buy?cid=CS-BENZ-FT-tale_of_the_tape|yseop_template_9-625743	Zacks	2019-11-18 00:00:00	A
Retailers, Dubai Airshow And Cybertrucks (Stocks To Watch Podcast)	0.03746034577488899	0.031261149793863297	0.9312784671783447	https://seekingalpha.com/article/4307271-retailers-dubai-airshow-cybertrucks-stocks-watch-podcast?source=partner_benzinga	Seeking Alpha	2019-11-17 00:00:00	A
Stocks To Watch: Retailers, Dubai Airshow And Cybertrucks	0.03747212514281273	0.0293749887496233	0.9331529140472412	https://seekingalpha.com/article/4307244-stocks-watch-retailers-dubai-airshow-cybertrucks?source=partner_benzinga	Seeking Alpha	2019-11-16 00:00:00	A
PerkinElmer: An Excellent Opportunity	0.9368208050727844	0.01512877270579338	0.048050422221422195	https://seekingalpha.com/article/4307103-perkinelmer-excellent-opportunity?source=partner_benzinga	Seeking Alpha	2019-11-15 00:00:00	A
Market-Beating Sector ETFs Year to Date	0.6373177170753479	0.02068629115819931	0.3419959545135498	http://www.zacks.com/stock/news/621178/market-beating-sector-etfs-year-to-date?cid=CS-BENZ-FT-etf_news_and_commentary-621178	Zacks	2019-11-15 00:00:00	A
Stifel likes Illumina in premarket analyst action	0.10500650852918625	0.015381007455289364	0.8796125650405884	https://seekingalpha.com/news/3519763-stifel-likes-illumina-premarket-analyst-action?source=partner_benzinga	Seeking Alpha	2019-11-15 00:00:00	A
Tiemann Investment Advisors, Llc Buys SPDR Barclays Convertible Securities ETF, D.R. ...	0.09066656976938248	0.011913892813026905	0.8974195718765259	https://www.benzinga.com/node/14819342	GuruFocus	2019-11-15 00:00:00	A
Fairpointe Capital LLC Buys Adtalem Global Education Inc, Corning Inc, Agilent Technologies ...	0.07606195658445358	0.01437112595885992	0.9095668792724609	https://www.benzinga.com/node/14823635	GuruFocus	2019-11-15 00:00:00	A
Stocks Showing Rising Market Leadership: Agilent Technologies Earns 82 RS Rating	0.9507005214691162	0.01644030585885048	0.03285913169384003	http://www.investors.com/ibd-data-stories/stocks-showing-rising-market-leadership-agilent-technologies-earns-82-rs-rating/?src=A00237A&ven=BenzingaCP&src=AURLAAM	Investor's Business Daily	2019-11-14 00:00:00	A
Epoch Investment Partners, Inc. Buys KKR Inc, Coca-Cola Co, Huntington Ingalls Industries Inc, ...	0.07237190753221512	0.01902477629482746	0.9086032509803772	https://www.benzinga.com/node/14804572	GuruFocus	2019-11-13 00:00:00	A
